datum,pozicija,naslov,izvajalec,tedni_na_lestvici,najvisja_pozicija
20200830,1,HEAD & HEART,JOEL CORRY FT MNEK,8,1
20200830,2,WAP,CARDI B FT MEGAN THEE STALLION,3,2
20200830,3,DYNAMITE,BTS,1,3
20200830,4,AIN'T IT DIFFERENT,HEADIE ONE/AJ TRACEY/STORMZY,1,4
20200830,5,LIGHTER,NATHAN DAWE FT KSI,5,3
20200830,6,LAUGH NOW CRY LATER,DRAKE FT LIL DURK,2,4
20200830,7,MOOD SWINGS,POP SMOKE FT LIL TJAY,7,6
20200830,8,WATERMELON SUGAR,HARRY STYLES,29,4
20200830,9,WEST TEN,AJ TRACEY & MABEL,8,5
20200830,10,GREECE,DJ KHALED FT DRAKE,6,8
20200830,11,MOOD,24KGOLDN FT IANN DIOR,2,11
20200830,12,GO CRAZY,CHRIS BROWN & YOUNG THUG,16,10
20200830,13,SAVAGE LOVE (LAXED - SIREN BEAT),JAWSH 685 & JASON DERULO,11,1
20200830,14,SECRETS,REGARD & RAYE,18,6
20200830,15,LOOKING FOR ME,PAUL WOOLFORD & DIPLO/LOMAX,7,14
20200830,16,TAKE YOU DANCING,JASON DERULO,5,16
20200830,17,LAND OF HOPE AND GLORY,VERA LYNN,1,17
20200830,18,DANCING IN THE MOONLIGHT,JUBEL FT NEIMY,11,11
20200830,19,MIDNIGHT SKY,MILEY CYRUS,2,15
20200830,20,HEAVEN ON MY MIND,BECKY HILL & SIGALA,9,14
20200830,21,HOLIDAY,LITTLE MIX,5,17
20200830,22,HEATHER,CONAN GRAY,3,22
20200830,23,THE WOO,POP SMOKE/50 CENT/RODDY RICCH,8,9
20200830,24,FOR THE NIGHT,POP SMOKE/LIL BABY/DABABY,8,14
20200830,25,ROCKSTAR,DABABY FT RODDY RICCH,19,1
20200830,26,FAKE FRIENDS,PS1 FT ALEX HOSKING,13,22
20200830,27,KINGS & QUEENS,AVA MAX,24,19
20200830,28,WISHING WELL,JUICE WRLD,7,15
20200830,29,ONLY YOU FREESTYLE,HEADIE ONE & DRAKE,6,5
20200830,30,BREAKING ME,TOPIC FT A7S,20,3
20200830,31,YOU BROKE ME FIRST,TATE MCRAE,5,31
20200830,32,ON DECK,ABRA CADABRA,6,32
20200830,33,BLINDING LIGHTS,WEEKND,39,1
20200830,34,THIS CITY,SAM FISCHER,29,16
20200830,35,COME & GO,JUICE WRLD & MARSHMELLO,7,9
20200830,36,TICK TOCK,CLEAN BANDIT/MABEL/24KGOLDN,1,36
20200830,37,RAIN ON ME,LADY GAGA & ARIANA GRANDE,14,1
20200830,38,CARDIGAN,TAYLOR SWIFT,5,6
20200830,39,FLOWERS,NATHAN DAWE FT JAYKAE,29,12
20200830,40,WHAT'S LOVE GOT TO DO WITH IT,KYGO & TINA TURNER,6,31
20200906,1,WAP,CARDI B FT MEGAN THEE STALLION,4,1
20200906,2,HEAD & HEART,JOEL CORRY FT MNEK,9,1
20200906,3,LIGHTER,NATHAN DAWE FT KSI,6,3
20200906,4,MOOD,24KGOLDN FT IANN DIOR,3,4
20200906,5,AIN'T IT DIFFERENT,HEADIE ONE/AJ TRACEY/STORMZY,2,4
20200906,6,MOOD SWINGS,POP SMOKE FT LIL TJAY,8,6
20200906,7,LAUGH NOW CRY LATER,DRAKE FT LIL DURK,3,4
20200906,8,WATERMELON SUGAR,HARRY STYLES,30,4
20200906,9,GREECE,DJ KHALED FT DRAKE,7,8
20200906,10,WEST TEN,AJ TRACEY & MABEL,9,5
20200906,11,GO CRAZY,CHRIS BROWN & YOUNG THUG,17,10
20200906,12,LOOKING FOR ME,PAUL WOOLFORD & DIPLO/LOMAX,8,12
20200906,13,DYNAMITE,BTS,2,3
20200906,14,SECRETS,REGARD & RAYE,19,6
20200906,15,TAKE YOU DANCING,JASON DERULO,6,15
20200906,16,SAVAGE LOVE (LAXED - SIREN BEAT),JAWSH 685 & JASON DERULO,12,1
20200906,17,MIDNIGHT SKY,MILEY CYRUS,3,15
20200906,18,HOLIDAY,LITTLE MIX,6,17
20200906,19,DANCING IN THE MOONLIGHT,JUBEL FT NEIMY,12,11
20200906,20,TICK TOCK,CLEAN BANDIT/MABEL/24KGOLDN,2,20
20200906,21,HEAVEN ON MY MIND,BECKY HILL & SIGALA,10,14
20200906,22,YOU BROKE ME FIRST,TATE MCRAE,6,22
20200906,23,HEATHER,CONAN GRAY,4,22
20200906,24,FOR THE NIGHT,POP SMOKE/LIL BABY/DABABY,9,14
20200906,25,AIRPLANE MODE,NINES FT NSG,2,25
20200906,26,THE WOO,POP SMOKE/50 CENT/RODDY RICCH,9,9
20200906,27,FAKE FRIENDS,PS1 FT ALEX HOSKING,14,22
20200906,28,ROCKSTAR,DABABY FT RODDY RICCH,20,1
20200906,29,BLINDING LIGHTS,WEEKND,40,1
20200906,30,WISHING WELL,JUICE WRLD,8,15
20200906,31,KINGS & QUEENS,AVA MAX,25,19
20200906,32,BREAKING ME,TOPIC FT A7S,21,3
20200906,33,OVER NOW,CALVIN HARRIS & WEEKND,1,33
20200906,34,RAIN ON ME,LADY GAGA & ARIANA GRANDE,15,1
20200906,35,THIS CITY,SAM FISCHER,30,16
20200906,36,COME & GO,JUICE WRLD & MARSHMELLO,8,9
20200906,37,HALLUCINATE,DUA LIPA,7,35
20200906,38,ONLY YOU FREESTYLE,HEADIE ONE & DRAKE,7,5
20200906,39,ICE CREAM,BLACKPINK & SELENA GOMEZ,1,39
20200906,40,FLOWERS,NATHAN DAWE FT JAYKAE,30,12
20200913,1,WAP,CARDI B FT MEGAN THEE STALLION,5,1
20200913,2,MOOD,24KGOLDN FT IANN DIOR,4,2
20200913,3,AIN'T IT DIFFERENT,HEADIE ONE/AJ TRACEY/STORMZY,3,3
20200913,4,LIGHTER,NATHAN DAWE FT KSI,7,3
20200913,5,MOOD SWINGS,POP SMOKE FT LIL TJAY,9,5
20200913,6,HEAD & HEART,JOEL CORRY FT MNEK,10,1
20200913,7,LAUGH NOW CRY LATER,DRAKE FT LIL DURK,4,4
20200913,8,LOOKING FOR ME,PAUL WOOLFORD & DIPLO/LOMAX,9,8
20200913,9,GREECE,DJ KHALED FT DRAKE,8,8
20200913,10,MIDNIGHT SKY,MILEY CYRUS,4,10
20200913,11,TAKE YOU DANCING,JASON DERULO,7,11
20200913,12,SAVAGE LOVE (LAXED - SIREN BEAT),JAWSH 685 & JASON DERULO,13,1
20200913,13,YOU BROKE ME FIRST,TATE MCRAE,7,13
20200913,14,TICK TOCK,CLEAN BANDIT/MABEL/24KGOLDN,3,14
20200913,15,HOLIDAY,LITTLE MIX,7,15
20200913,16,FOR THE NIGHT,POP SMOKE/LIL BABY/DABABY,10,14
20200913,17,HEATHER,CONAN GRAY,5,17
20200913,18,DYNAMITE,BTS,3,3
20200913,19,FAKE FRIENDS,PS1 FT ALEX HOSKING,15,19
20200913,20,POPSTAR,DJ KHALED FT DRAKE,8,11
20200913,21,BLINDING LIGHTS,WEEKND,41,1
20200913,22,GIANTS,DERMOT KENNEDY,11,22
20200913,23,ROCKSTAR,DABABY FT RODDY RICCH,21,1
20200913,24,WATERMELON SUGAR,HARRY STYLES,31,4
20200913,25,AIRPLANE MODE,NINES FT NSG,3,25
20200913,26,WISHING WELL,JUICE WRLD,9,15
20200913,27,LASTING LOVER,SIGALA & JAMES ARTHUR,1,27
20200913,28,BREAKING ME,TOPIC FT A7S,22,3
20200913,29,RAIN ON ME,LADY GAGA & ARIANA GRANDE,16,1
20200913,30,WEST TEN,AJ TRACEY & MABEL,10,5
20200913,31,COME & GO,JUICE WRLD & MARSHMELLO,9,9
20200913,32,GO CRAZY,CHRIS BROWN & YOUNG THUG,18,10
20200913,33,HALLUCINATE,DUA LIPA,8,33
20200913,34,ONLY YOU FREESTYLE,HEADIE ONE & DRAKE,8,5
20200913,35,OVER NOW,CALVIN HARRIS & WEEKND,2,33
20200913,36,LEMONADE,INTERNET MONEY/GUNNA/TOLIVER,4,36
20200913,37,OBEY,BRING ME THE HORIZON/YUNGBLUD,1,37
20200913,38,SECRETS,REGARD & RAYE,20,6
20200913,39,WHAT'S LOVE GOT TO DO WITH IT,KYGO & TINA TURNER,8,31
20200913,40,ON DECK,ABRA CADABRA,8,32
20200920,1,WAP,CARDI B FT MEGAN THEE STALLION,6,1
20200920,2,MOOD,24KGOLDN FT IANN DIOR,5,2
20200920,3,AIN'T IT DIFFERENT,HEADIE ONE/AJ TRACEY/STORMZY,4,3
20200920,4,LIGHTER,NATHAN DAWE FT KSI,8,3
20200920,5,LOOKING FOR ME,PAUL WOOLFORD & DIPLO/LOMAX,10,5
20200920,6,MOOD SWINGS,POP SMOKE FT LIL TJAY,10,5
20200920,7,HEAD & HEART,JOEL CORRY FT MNEK,11,1
20200920,8,LAUGH NOW CRY LATER,DRAKE FT LIL DURK,5,4
20200920,9,TAKE YOU DANCING,JASON DERULO,8,9
20200920,10,MIDNIGHT SKY,MILEY CYRUS,5,10
20200920,11,GREECE,DJ KHALED FT DRAKE,9,8
20200920,12,TICK TOCK,CLEAN BANDIT/MABEL/24KGOLDN,4,12
20200920,13,YOU BROKE ME FIRST,TATE MCRAE,8,13
20200920,14,LOOSE,S1MBA FT KSI,1,14
20200920,15,FOR THE NIGHT,POP SMOKE/LIL BABY/DABABY,11,14
20200920,16,LEMONADE,INTERNET MONEY/GUNNA/TOLIVER,5,16
